subject,context_belief,SI
nan,76.0,-1.2163953243244932
nan,0.0,-2.2512917986064953
nan,38.0,-0.6418538861723946
nan,19.0,-1.6582280766035322
nan,9.0,-0.6931471805599453
nan,10.0,-2.4423470353692043
nan,14.0,-1.5040773967762742
nan,35.0,-0.4700036292457356
nan,21.0,-0.7884573603642702
nan,6.0,-1.0986122886681098
nan,37.0,-1.749199854809259
nan,63.0,-0.8109302162163287
nan,79.0,-0.8109302162163288
nan,44.0,-1.252762968495368
nan,16.0,-0.9808292530117264
nan,48.0,-1.1526795099383855
nan,47.0,-2.3513752571634776
nan,48.0,-0.9162907318741551
nan,46.0,-0.8649974374866046
nan,0.0,-0.6286086594223742
nan,31.0,-1.8325814637483102
nan,0.0,-1.8718021769015916
nan,0.0,-13.815510557964274
nan,88.0,-0.7731898882334817
nan,33.0,-1.4469189829363254
nan,24.0,-1.3862943611198906
nan,69.0,-1.0116009116784799
nan,70.0,-0.8109302162163287
nan,70.0,-1.55814461804655
nan,71.0,-2.2512917986064953
nan,79.0,-2.2512917986064953
nan,100.0,-0.6359887667199967
nan,20.0,-1.2992829841302609
nan,84.0,-1.252762968495368
nan,7.0,-0.78845736036427
nan,10.0,-1.5040773967762742
nan,20.0,-0.9650808960435872
nan,19.0,-1.3862943611198906
nan,20.0,-2.4423470353692043
nan,25.0,-0.8649974374866046
nan,56.0,-1.3217558399823195
nan,16.0,-1.3217558399823195
nan,48.0,-1.2039728043259361
nan,2.0,-1.55814461804655
nan,24.0,-1.3217558399823195
nan,49.0,-0.2876820724517809
nan,83.0,-0.24116205681688824
nan,77.0,-1.4469189829363254
nan,44.0,-0.4769240720903093
nan,31.0,-1.6582280766035322
nan,22.0,-1.3862943611198906
nan,13.0,-1.1526795099383855
nan,59.0,-2.197224577336219
nan,56.0,-1.5040773967762742
2f735d6f-c931-48c9-a1ca-9ba357ee585b,31.0,-1.252762968495368
2f735d6f-c931-48c9-a1ca-9ba357ee585b,82.0,-1.5040773967762742
2f735d6f-c931-48c9-a1ca-9ba357ee585b,95.0,-0.6931471805599453
2f735d6f-c931-48c9-a1ca-9ba357ee585b,90.0,-1.9459101490553135
2f735d6f-c931-48c9-a1ca-9ba357ee585b,98.0,-0.9444616088408512
896a17f2-de86-4c42-921d-3808aa7f13e6,16.0,-1.791759469228055
896a17f2-de86-4c42-921d-3808aa7f13e6,21.0,-0.9932517730102833
896a17f2-de86-4c42-921d-3808aa7f13e6,5.0,-1.55814461804655
896a17f2-de86-4c42-921d-3808aa7f13e6,29.0,-1.041453874828161
896a17f2-de86-4c42-921d-3808aa7f13e6,2.0,-1.6094379124341005
a36f516a-1465-4b49-b1dc-4b7141e999e4,50.0,-2.3978952727983707
a36f516a-1465-4b49-b1dc-4b7141e999e4,62.0,-2.3025850929940455
a36f516a-1465-4b49-b1dc-4b7141e999e4,69.0,-0.9162907318741551
a36f516a-1465-4b49-b1dc-4b7141e999e4,30.0,-0.8472978603872036
a36f516a-1465-4b49-b1dc-4b7141e999e4,58.0,-0.6931471805599453
a4a123d1-4d99-423f-91eb-4ecaaaad408b,10.0,-2.5649493574615367
a4a123d1-4d99-423f-91eb-4ecaaaad408b,75.0,-1.55814461804655
a4a123d1-4d99-423f-91eb-4ecaaaad408b,76.0,-0.0800427076735365
a4a123d1-4d99-423f-91eb-4ecaaaad408b,30.0,-2.4849066497880004
a4a123d1-4d99-423f-91eb-4ecaaaad408b,55.0,-1.3862943611198906
b329fabb-6d42-4920-a52c-d333d1e91670,4.0,-1.6582280766035322
b329fabb-6d42-4920-a52c-d333d1e91670,56.0,-1.0986122886681098
b329fabb-6d42-4920-a52c-d333d1e91670,56.0,-1.3862943611198906
b329fabb-6d42-4920-a52c-d333d1e91670,30.0,-1.1526795099383855
b329fabb-6d42-4920-a52c-d333d1e91670,26.0,-1.0986122886681098
2ad20afb-915b-4a23-90ff-e78a361d2370,8.0,-1.4469189829363254
2ad20afb-915b-4a23-90ff-e78a361d2370,32.0,-0.6931471805599453
2ad20afb-915b-4a23-90ff-e78a361d2370,43.0,-1.252762968495368
2ad20afb-915b-4a23-90ff-e78a361d2370,32.0,-1.1526795099383855
2ad20afb-915b-4a23-90ff-e78a361d2370,42.0,-2.3978952727983707
8f0a847d-2c41-4b02-95b5-e21831ad7af6,67.0,-0.8472978603872036
8f0a847d-2c41-4b02-95b5-e21831ad7af6,95.0,-0.8266785731844678
