subject,context_belief,alloc_L,alloc_M,alloc_H
nan,41.0,85,8,7
nan,70.0,90,5,5
nan,63.0,21,59,20
nan,9.0,20,19,61
nan,91.0,96,2,2
nan,66.0,33,33,34
nan,39.0,29,43,28
nan,50.0,33,33,34
nan,75.0,14,13,73
nan,19.0,88,10,2
nan,50.0,33,33,34
nan,50.0,33,33,34
nan,50.0,33,33,34
nan,50.0,33,33,34
nan,50.0,33,33,34
nan,21.0,18,30,52
nan,62.0,57,14,29
nan,80.0,22,20,58
nan,60.0,33,15,52
nan,57.0,65,24,11
nan,33.0,62,19,19
nan,66.0,23,46,31
nan,71.0,28,27,45
nan,17.0,63,19,18
nan,64.0,27,47,26
nan,52.0,51,41,8
nan,88.0,91,9,0
nan,91.0,85,15,0
nan,34.0,55,31,14
nan,31.0,53,36,11
nan,50.0,33,33,34
nan,81.0,41,30,29
nan,56.0,47,44,9
nan,53.0,22,56,22
nan,56.0,12,12,76
nan,31.0,45,13,42
nan,69.0,33,33,34
nan,13.0,56,30,14
nan,37.0,26,26,48
nan,57.0,24,48,28
nan,50.0,33,33,34
nan,50.0,33,33,34
nan,50.0,33,33,34
nan,50.0,33,33,34
nan,50.0,33,33,34
nan,50.0,33,33,34
nan,50.0,33,33,34
nan,50.0,33,33,34
nan,50.0,33,33,34
nan,50.0,33,33,34
nan,69.0,67,17,16
nan,74.0,27,46,27
nan,64.0,34,20,46
nan,75.0,48,42,10
nan,23.0,28,28,44
2f735d6f-c931-48c9-a1ca-9ba357ee585b,73.0,23,0,77
2f735d6f-c931-48c9-a1ca-9ba357ee585b,65.0,28,0,72
2f735d6f-c931-48c9-a1ca-9ba357ee585b,44.0,0,0,100
2f735d6f-c931-48c9-a1ca-9ba357ee585b,30.0,0,21,79
2f735d6f-c931-48c9-a1ca-9ba357ee585b,55.0,0,100,0
896a17f2-de86-4c42-921d-3808aa7f13e6,66.0,26,26,48
896a17f2-de86-4c42-921d-3808aa7f13e6,12.0,58,21,21
896a17f2-de86-4c42-921d-3808aa7f13e6,57.0,33,58,9
896a17f2-de86-4c42-921d-3808aa7f13e6,7.0,31,56,13
896a17f2-de86-4c42-921d-3808aa7f13e6,92.0,1,78,21
a4a123d1-4d99-423f-91eb-4ecaaaad408b,22.0,0,0,100
a4a123d1-4d99-423f-91eb-4ecaaaad408b,76.0,100,0,0
a4a123d1-4d99-423f-91eb-4ecaaaad408b,63.0,0,100,0
a4a123d1-4d99-423f-91eb-4ecaaaad408b,44.0,0,100,0
a4a123d1-4d99-423f-91eb-4ecaaaad408b,25.0,100,0,0
a36f516a-1465-4b49-b1dc-4b7141e999e4,68.0,87,10,3
a36f516a-1465-4b49-b1dc-4b7141e999e4,31.0,28,25,47
a36f516a-1465-4b49-b1dc-4b7141e999e4,64.0,26,26,48
a36f516a-1465-4b49-b1dc-4b7141e999e4,32.0,82,13,5
a36f516a-1465-4b49-b1dc-4b7141e999e4,16.0,31,38,31
b329fabb-6d42-4920-a52c-d333d1e91670,43.0,56,22,22
b329fabb-6d42-4920-a52c-d333d1e91670,3.0,33,31,36
b329fabb-6d42-4920-a52c-d333d1e91670,24.0,62,19,19
b329fabb-6d42-4920-a52c-d333d1e91670,0.0,33,33,34
