subject,context_belief,y
nan,98.0,2
nan,11.0,4
nan,97.0,1
nan,0.0,1
nan,0.0,1
nan,0.0,2
nan,52.0,2
nan,0.0,2
nan,27.0,2
nan,0.0,2
nan,0.0,2
nan,0.0,2
nan,0.0,2
nan,0.0,2
nan,0.0,2
nan,0.0,2
nan,65.0,2
nan,0.0,2
nan,45.0,3
nan,54.0,3
nan,11.0,4
nan,0.0,4
nan,64.0,2
nan,100.0,1
nan,5.0,5
nan,0.0,2
nan,0.0,2
nan,0.0,2
nan,0.0,2
nan,0.0,2
nan,62.0,3
nan,0.0,3
nan,79.0,3
nan,67.0,4
nan,12.0,4
nan,0.0,2
nan,84.0,2
nan,0.0,2
nan,29.0,2
nan,53.0,4
nan,0.0,2
nan,0.0,2
nan,0.0,2
nan,16.0,4
nan,0.0,4
nan,0.0,2
nan,0.0,2
nan,0.0,2
nan,0.0,2
nan,0.0,2
nan,79.0,2
nan,70.0,3
nan,12.0,5
nan,77.0,3
nan,76.0,3
2f735d6f-c931-48c9-a1ca-9ba357ee585b,0.0,2
2f735d6f-c931-48c9-a1ca-9ba357ee585b,0.0,2
2f735d6f-c931-48c9-a1ca-9ba357ee585b,0.0,2
2f735d6f-c931-48c9-a1ca-9ba357ee585b,0.0,2
2f735d6f-c931-48c9-a1ca-9ba357ee585b,0.0,2
896a17f2-de86-4c42-921d-3808aa7f13e6,72.0,2
896a17f2-de86-4c42-921d-3808aa7f13e6,91.0,2
896a17f2-de86-4c42-921d-3808aa7f13e6,0.0,2
896a17f2-de86-4c42-921d-3808aa7f13e6,56.0,2
896a17f2-de86-4c42-921d-3808aa7f13e6,39.0,2
a4a123d1-4d99-423f-91eb-4ecaaaad408b,0.0,2
a4a123d1-4d99-423f-91eb-4ecaaaad408b,0.0,2
a4a123d1-4d99-423f-91eb-4ecaaaad408b,2.0,5
a4a123d1-4d99-423f-91eb-4ecaaaad408b,0.0,5
a4a123d1-4d99-423f-91eb-4ecaaaad408b,100.0,1
a36f516a-1465-4b49-b1dc-4b7141e999e4,0.0,2
a36f516a-1465-4b49-b1dc-4b7141e999e4,39.0,3
a36f516a-1465-4b49-b1dc-4b7141e999e4,86.0,2
a36f516a-1465-4b49-b1dc-4b7141e999e4,0.0,2
a36f516a-1465-4b49-b1dc-4b7141e999e4,32.0,4
b329fabb-6d42-4920-a52c-d333d1e91670,56.0,2
b329fabb-6d42-4920-a52c-d333d1e91670,87.0,2
b329fabb-6d42-4920-a52c-d333d1e91670,49.0,2
b329fabb-6d42-4920-a52c-d333d1e91670,0.0,5
b329fabb-6d42-4920-a52c-d333d1e91670,39.0,3
2ad20afb-915b-4a23-90ff-e78a361d2370,0.0,2
2ad20afb-915b-4a23-90ff-e78a361d2370,74.0,2
2ad20afb-915b-4a23-90ff-e78a361d2370,55.0,3
2ad20afb-915b-4a23-90ff-e78a361d2370,93.0,2
2ad20afb-915b-4a23-90ff-e78a361d2370,100.0,1
8f0a847d-2c41-4b02-95b5-e21831ad7af6,69.0,2
8f0a847d-2c41-4b02-95b5-e21831ad7af6,33.0,3
8f0a847d-2c41-4b02-95b5-e21831ad7af6,0.0,4
8f0a847d-2c41-4b02-95b5-e21831ad7af6,8.0,4
8f0a847d-2c41-4b02-95b5-e21831ad7af6,0.0,4
1f08893f-097a-4f1f-ac38-d7be2b3d7226,0.0,2
1f08893f-097a-4f1f-ac38-d7be2b3d7226,0.0,2
1f08893f-097a-4f1f-ac38-d7be2b3d7226,0.0,2
1f08893f-097a-4f1f-ac38-d7be2b3d7226,0.0,2
1f08893f-097a-4f1f-ac38-d7be2b3d7226,0.0,2
830e9168-cf61-40c6-9d46-f515becb5b52,30.0,4
830e9168-cf61-40c6-9d46-f515becb5b52,78.0,4
830e9168-cf61-40c6-9d46-f515becb5b52,6.0,5
830e9168-cf61-40c6-9d46-f515becb5b52,53.0,5
830e9168-cf61-40c6-9d46-f515becb5b52,0.0,5
d98bb97e-b2b6-4766-95e5-5fc474b0dc42,100.0,2
d98bb97e-b2b6-4766-95e5-5fc474b0dc42,30.0,2
d98bb97e-b2b6-4766-95e5-5fc474b0dc42,100.0,2
d98bb97e-b2b6-4766-95e5-5fc474b0dc42,100.0,1
d98bb97e-b2b6-4766-95e5-5fc474b0dc42,26.0,3
532f544e-3953-4b23-a6bd-28c3fa9d042e,65.0,3
532f544e-3953-4b23-a6bd-28c3fa9d042e,89.0,2
532f544e-3953-4b23-a6bd-28c3fa9d042e,95.0,1
532f544e-3953-4b23-a6bd-28c3fa9d042e,58.0,4
532f544e-3953-4b23-a6bd-28c3fa9d042e,88.0,3
8aedad75-ccb3-422e-bb4b-e9f2fea7b29f,60.0,2
8aedad75-ccb3-422e-bb4b-e9f2fea7b29f,69.0,2
8aedad75-ccb3-422e-bb4b-e9f2fea7b29f,0.0,2
8aedad75-ccb3-422e-bb4b-e9f2fea7b29f,69.0,2
8aedad75-ccb3-422e-bb4b-e9f2fea7b29f,19.0,4
7b69b792-7a7b-4010-aa64-f106a00838bf,11.0,4
7b69b792-7a7b-4010-aa64-f106a00838bf,34.0,3
7b69b792-7a7b-4010-aa64-f106a00838bf,87.0,2
7b69b792-7a7b-4010-aa64-f106a00838bf,31.0,3
7b69b792-7a7b-4010-aa64-f106a00838bf,71.0,2
9899b5c1-369a-46de-861d-1c2d5bb6e1bf,78.0,2
9899b5c1-369a-46de-861d-1c2d5bb6e1bf,0.0,5
9899b5c1-369a-46de-861d-1c2d5bb6e1bf,56.0,2
9899b5c1-369a-46de-861d-1c2d5bb6e1bf,0.0,5
9899b5c1-369a-46de-861d-1c2d5bb6e1bf,0.0,5
7d231b57-f2af-4f70-8e26-45675978bcbe,12.0,3
7d231b57-f2af-4f70-8e26-45675978bcbe,45.0,2
7d231b57-f2af-4f70-8e26-45675978bcbe,70.0,3
7d231b57-f2af-4f70-8e26-45675978bcbe,0.0,3
7d231b57-f2af-4f70-8e26-45675978bcbe,77.0,2
e1bd26a6-1237-47f1-8a02-e0b0af26bc26,0.0,2
e1bd26a6-1237-47f1-8a02-e0b0af26bc26,67.0,3
e1bd26a6-1237-47f1-8a02-e0b0af26bc26,33.0,4
e1bd26a6-1237-47f1-8a02-e0b0af26bc26,0.0,4
e1bd26a6-1237-47f1-8a02-e0b0af26bc26,73.0,2
e2111f8b-26e1-44c3-bba7-35b473377d24,96.0,2
e2111f8b-26e1-44c3-bba7-35b473377d24,85.0,2
e2111f8b-26e1-44c3-bba7-35b473377d24,91.0,2
